[2025-12-28 01:36:22] ASCENSION EVENT | Age: 1 | Phi: 0.9312 | Logic: low
[2025-12-28 01:36:23] ASCENSION EVENT | Age: 2 | Phi: 0.8703 | Logic: low
[2025-12-28 01:36:28] ASCENSION EVENT | Age: 38 | Phi: 0.8549 | Logic: low
[2025-12-28 01:36:41] ASCENSION EVENT | Age: 124 | Phi: 0.9135 | Logic: low
[2025-12-28 01:36:46] ASCENSION EVENT | Age: 160 | Phi: 0.9220 | Logic: low
[2025-12-28 01:36:46] ASCENSION EVENT | Age: 161 | Phi: 0.8603 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 162 | Phi: 0.9007 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 163 | Phi: 0.9282 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 164 | Phi: 0.9184 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 165 | Phi: 0.9000 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 166 | Phi: 0.9054 | Logic: low
[2025-12-28 01:36:47] ASCENSION EVENT | Age: 167 | Phi: 0.8651 | Logic: low
[2025-12-28 01:36:48] ASCENSION EVENT | Age: 168 | Phi: 0.8505 | Logic: low
[2025-12-28 01:37:05] ASCENSION EVENT | Age: 283 | Phi: 0.8842 | Logic: low
[2025-12-28 01:37:05] ASCENSION EVENT | Age: 285 | Phi: 0.8616 | Logic: low
[2025-12-28 01:37:05] ASCENSION EVENT | Age: 286 | Phi: 0.9021 | Logic: low
[2025-12-28 01:37:05] ASCENSION EVENT | Age: 287 | Phi: 0.9711 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 288 | Phi: 0.9963 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 289 | Phi: 0.9835 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 290 | Phi: 0.9547 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 291 | Phi: 0.9712 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 292 | Phi: 0.8778 | Logic: low
[2025-12-28 01:37:06] ASCENSION EVENT | Age: 293 | Phi: 0.8865 | Logic: low
[2025-12-28 01:37:07] ASCENSION EVENT | Age: 294 | Phi: 0.8618 | Logic: low
[2025-12-28 01:37:24] ASCENSION EVENT | Age: 408 | Phi: 0.8551 | Logic: low
[2025-12-28 01:37:24] ASCENSION EVENT | Age: 411 | Phi: 0.8513 | Logic: low
[2025-12-28 01:37:24] ASCENSION EVENT | Age: 412 | Phi: 0.9172 | Logic: low
[2025-12-28 01:37:24] ASCENSION EVENT | Age: 413 | Phi: 0.9416 | Logic: low
[2025-12-28 01:37:25] ASCENSION EVENT | Age: 414 | Phi: 0.9831 | Logic: low
[2025-12-28 01:37:25] ASCENSION EVENT | Age: 415 | Phi: 0.9677 | Logic: low
[2025-12-28 01:37:25] ASCENSION EVENT | Age: 416 | Phi: 0.8895 | Logic: low
[2025-12-28 01:37:25] ASCENSION EVENT | Age: 417 | Phi: 0.9537 | Logic: low
[2025-12-28 01:37:25] ASCENSION EVENT | Age: 418 | Phi: 0.9106 | Logic: low
[2025-12-28 01:37:43] ASCENSION EVENT | Age: 538 | Phi: 0.8900 | Logic: low
[2025-12-28 01:37:43] ASCENSION EVENT | Age: 539 | Phi: 0.8729 | Logic: low
[2025-12-28 01:37:44] ASCENSION EVENT | Age: 540 | Phi: 0.8969 | Logic: low
[2025-12-28 01:37:44] ASCENSION EVENT | Age: 541 | Phi: 0.8845 | Logic: low
[2025-12-28 01:37:44] ASCENSION EVENT | Age: 542 | Phi: 0.8864 | Logic: low
[2025-12-28 01:37:44] ASCENSION EVENT | Age: 543 | Phi: 0.8513 | Logic: low
[2025-12-28 01:37:49] ASCENSION EVENT | Age: 575 | Phi: 0.8574 | Logic: low
[2025-12-28 01:37:49] ASCENSION EVENT | Age: 576 | Phi: 0.8926 | Logic: low
[2025-12-28 01:37:49] ASCENSION EVENT | Age: 577 | Phi: 0.8745 | Logic: low
[2025-12-28 01:37:49] ASCENSION EVENT | Age: 578 | Phi: 0.9375 | Logic: low
[2025-12-28 01:37:49] ASCENSION EVENT | Age: 579 | Phi: 0.9167 | Logic: low
[2025-12-28 01:37:50] ASCENSION EVENT | Age: 580 | Phi: 0.8955 | Logic: low
[2025-12-28 01:37:50] ASCENSION EVENT | Age: 581 | Phi: 0.9180 | Logic: low
[2025-12-28 01:37:50] ASCENSION EVENT | Age: 582 | Phi: 0.9316 | Logic: low
[2025-12-28 01:37:50] ASCENSION EVENT | Age: 583 | Phi: 0.8783 | Logic: low
[2025-12-28 01:37:50] ASCENSION EVENT | Age: 584 | Phi: 0.8740 | Logic: low
[2025-12-28 01:38:08] ASCENSION EVENT | Age: 700 | Phi: 0.8788 | Logic: low
[2025-12-28 01:38:08] ASCENSION EVENT | Age: 702 | Phi: 0.9585 | Logic: low
[2025-12-28 01:38:08] ASCENSION EVENT | Age: 703 | Phi: 0.9773 | Logic: low
[2025-12-28 01:38:08] ASCENSION EVENT | Age: 704 | Phi: 0.9179 | Logic: low
[2025-12-28 01:38:08] ASCENSION EVENT | Age: 705 | Phi: 0.9551 | Logic: low
[2025-12-28 01:38:09] ASCENSION EVENT | Age: 706 | Phi: 0.9228 | Logic: low
[2025-12-28 01:38:09] ASCENSION EVENT | Age: 707 | Phi: 0.9120 | Logic: low
[2025-12-28 01:38:09] ASCENSION EVENT | Age: 708 | Phi: 0.8925 | Logic: low
[2025-12-28 01:38:09] ASCENSION EVENT | Age: 709 | Phi: 0.8699 | Logic: low
[2025-12-28 01:38:09] ASCENSION EVENT | Age: 710 | Phi: 0.8755 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 826 | Phi: 0.8946 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 827 | Phi: 0.9271 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 828 | Phi: 0.8849 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 829 | Phi: 0.9167 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 830 | Phi: 0.9117 | Logic: low
[2025-12-28 01:38:27] ASCENSION EVENT | Age: 831 | Phi: 0.8931 | Logic: low
[2025-12-28 01:38:28] ASCENSION EVENT | Age: 832 | Phi: 0.9733 | Logic: low
[2025-12-28 01:38:28] ASCENSION EVENT | Age: 833 | Phi: 0.9550 | Logic: low
[2025-12-28 01:38:28] ASCENSION EVENT | Age: 834 | Phi: 0.9299 | Logic: low
[2025-12-28 01:38:28] ASCENSION EVENT | Age: 836 | Phi: 0.8663 | Logic: low
[2025-12-28 01:38:34] ASCENSION EVENT | Age: 872 | Phi: 0.8661 | Logic: low
[2025-12-28 01:38:46] ASCENSION EVENT | Age: 955 | Phi: 0.8805 | Logic: low
[2025-12-28 01:38:46] ASCENSION EVENT | Age: 957 | Phi: 0.8848 | Logic: low
[2025-12-28 01:38:47] ASCENSION EVENT | Age: 958 | Phi: 0.8692 | Logic: low
[2025-12-28 01:38:47] ASCENSION EVENT | Age: 959 | Phi: 0.8559 | Logic: low
[2025-12-28 01:38:47] ASCENSION EVENT | Age: 960 | Phi: 0.8519 | Logic: low
[2025-12-28 01:38:52] ASCENSION EVENT | Age: 992 | Phi: 0.8676 | Logic: low
[2025-12-28 01:38:52] ASCENSION EVENT | Age: 993 | Phi: 0.8918 | Logic: low
[2025-12-28 01:38:52] ASCENSION EVENT | Age: 994 | Phi: 0.8715 | Logic: low
[2025-12-28 01:38:52] ASCENSION EVENT | Age: 995 | Phi: 0.8549 | Logic: low
[2025-12-28 01:38:52] ASCENSION EVENT | Age: 996 | Phi: 0.8673 | Logic: low
[2025-12-28 01:38:53] ASCENSION EVENT | Age: 997 | Phi: 0.9051 | Logic: low
[2025-12-28 01:38:53] ASCENSION EVENT | Age: 998 | Phi: 0.8658 | Logic: low
[2025-12-28 01:38:53] ASCENSION EVENT | Age: 999 | Phi: 0.9042 | Logic: low
[2025-12-28 01:38:53] ASCENSION EVENT | Age: 1001 | Phi: 0.8588 | Logic: low
[2025-12-28 01:39:10] ASCENSION EVENT | Age: 1116 | Phi: 0.8707 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1117 | Phi: 0.8608 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1118 | Phi: 0.8839 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1119 | Phi: 0.8975 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1120 | Phi: 0.9180 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1121 | Phi: 0.9764 | Logic: low
[2025-12-28 01:39:11] ASCENSION EVENT | Age: 1122 | Phi: 0.9623 | Logic: low
[2025-12-28 01:39:12] ASCENSION EVENT | Age: 1123 | Phi: 0.9875 | Logic: low
[2025-12-28 01:39:12] ASCENSION EVENT | Age: 1124 | Phi: 0.9124 | Logic: low
[2025-12-28 01:39:12] ASCENSION EVENT | Age: 1125 | Phi: 0.9288 | Logic: low
[2025-12-28 01:39:12] ASCENSION EVENT | Age: 1126 | Phi: 0.8885 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1243 | Phi: 0.8584 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1244 | Phi: 0.9287 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1245 | Phi: 0.8659 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1246 | Phi: 0.9351 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1247 | Phi: 0.9467 | Logic: low
[2025-12-28 01:39:30] ASCENSION EVENT | Age: 1248 | Phi: 0.9068 | Logic: low
[2025-12-28 01:39:31] ASCENSION EVENT | Age: 1249 | Phi: 0.9611 | Logic: low
[2025-12-28 01:39:31] ASCENSION EVENT | Age: 1250 | Phi: 0.8665 | Logic: low
[2025-12-28 01:39:31] ASCENSION EVENT | Age: 1251 | Phi: 0.8907 | Logic: low
[2025-12-28 01:39:49] ASCENSION EVENT | Age: 1371 | Phi: 0.8674 | Logic: low
[2025-12-28 01:39:49] ASCENSION EVENT | Age: 1372 | Phi: 0.8585 | Logic: low
[2025-12-28 01:39:49] ASCENSION EVENT | Age: 1373 | Phi: 0.9100 | Logic: low
[2025-12-28 01:39:49] ASCENSION EVENT | Age: 1374 | Phi: 0.9057 | Logic: low
[2025-12-28 01:39:50] ASCENSION EVENT | Age: 1375 | Phi: 0.8972 | Logic: low
[2025-12-28 01:39:50] ASCENSION EVENT | Age: 1377 | Phi: 0.8625 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1408 | Phi: 0.8546 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1409 | Phi: 0.8655 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1410 | Phi: 0.8854 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1411 | Phi: 0.9319 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1412 | Phi: 0.9130 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1413 | Phi: 0.9011 | Logic: low
[2025-12-28 01:39:55] ASCENSION EVENT | Age: 1414 | Phi: 0.9156 | Logic: low
[2025-12-28 01:39:56] ASCENSION EVENT | Age: 1415 | Phi: 0.8536 | Logic: low
[2025-12-28 01:39:56] ASCENSION EVENT | Age: 1417 | Phi: 0.8641 | Logic: low
[2025-12-28 01:40:13] ASCENSION EVENT | Age: 1534 | Phi: 0.9044 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1535 | Phi: 0.8690 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1536 | Phi: 0.8983 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1537 | Phi: 0.9101 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1538 | Phi: 0.9264 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1539 | Phi: 0.9681 | Logic: low
[2025-12-28 01:40:14] ASCENSION EVENT | Age: 1540 | Phi: 0.9499 | Logic: low
[2025-12-28 01:40:15] ASCENSION EVENT | Age: 1541 | Phi: 0.9237 | Logic: low
[2025-12-28 01:40:15] ASCENSION EVENT | Age: 1542 | Phi: 0.9455 | Logic: low
[2025-12-28 01:40:15] ASCENSION EVENT | Age: 1543 | Phi: 0.9143 | Logic: low
[2025-12-28 01:40:15] ASCENSION EVENT | Age: 1545 | Phi: 0.8582 | Logic: low
[2025-12-28 01:40:32] ASCENSION EVENT | Age: 1660 | Phi: 0.8898 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1661 | Phi: 0.9154 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1662 | Phi: 0.9011 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1663 | Phi: 0.8913 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1664 | Phi: 0.9154 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1665 | Phi: 0.9356 | Logic: low
[2025-12-28 01:40:33] ASCENSION EVENT | Age: 1666 | Phi: 0.9548 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1667 | Phi: 0.9108 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1668 | Phi: 0.8507 | Logic: low
[2025-12-28 01:40:34] ASCENSION EVENT | Age: 1669 | Phi: 0.8954 | Logic: low
[2025-12-28 01:40:52] ASCENSION EVENT | Age: 1789 | Phi: 0.8745 | Logic: low
[2025-12-28 01:40:52] ASCENSION EVENT | Age: 1791 | Phi: 0.9063 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1826 | Phi: 0.9025 | Logic: low
[2025-12-28 01:40:58] ASCENSION EVENT | Age: 1827 | Phi: 0.8973 | Logic: low
