[2025-11-01 01:06:01,282] INFO 5 changes detected
[2025-11-01 01:06:40,895] INFO endpoint=auto_route_and_respond latency_ms=108 engine=General_Knowledge
[2025-11-01 01:06:44,555] INFO endpoint=auto_route_and_respond latency_ms=31 engine=General_Knowledge
[2025-11-01 01:08:24,605] INFO endpoint=auto_route_and_respond latency_ms=48 engine=General_Knowledge
[2025-11-01 01:08:28,947] INFO endpoint=auto_route_and_respond latency_ms=44 engine=General_Knowledge
[2025-11-01 02:50:03,085] INFO endpoint=process.auto_route latency_ms=57 engine=General_Knowledge
[2025-11-01 02:50:03,086] INFO HTTP Request: POST http://testserver/process "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,088] INFO endpoint=rag_answer latency_ms=0 engine=noop
[2025-11-01 02:50:03,090] INFO HTTP Request: POST http://testserver/rag/answer "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,094] INFO HTTP Request: POST http://testserver/meta/evaluate "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,152] INFO endpoint=process.auto_route latency_ms=56 engine=General_Knowledge
[2025-11-01 02:50:03,153] INFO HTTP Request: POST http://testserver/process "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,156] INFO endpoint=rag_answer latency_ms=0 engine=noop
[2025-11-01 02:50:03,157] INFO HTTP Request: POST http://testserver/rag/answer "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,159] INFO HTTP Request: POST http://testserver/meta/evaluate "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,216] INFO endpoint=process.auto_route latency_ms=53 engine=General_Knowledge
[2025-11-01 02:50:03,217] INFO HTTP Request: POST http://testserver/process "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,219] INFO endpoint=rag_answer latency_ms=0 engine=noop
[2025-11-01 02:50:03,220] INFO HTTP Request: POST http://testserver/rag/answer "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,223] INFO HTTP Request: POST http://testserver/meta/evaluate "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,274] INFO endpoint=process.auto_route latency_ms=49 engine=General_Knowledge
[2025-11-01 02:50:03,275] INFO HTTP Request: POST http://testserver/process "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,278] INFO endpoint=rag_answer latency_ms=0 engine=noop
[2025-11-01 02:50:03,279] INFO HTTP Request: POST http://testserver/rag/answer "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,282] INFO HTTP Request: POST http://testserver/meta/evaluate "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,335] INFO endpoint=process.auto_route latency_ms=50 engine=General_Knowledge
[2025-11-01 02:50:03,336] INFO HTTP Request: POST http://testserver/process "HTTP/1.1 200 OK"
[2025-11-01 02:50:03,338] INFO endpoint=rag_answer latency_ms=0 engine=noop
